Metric,TP,TN,FP,FN,Sensitivity,Specificity,Precision,Recall,F1_Score,Accuracy,Balanced_Accuracy,MCC,Cohens_Kappa,Youdens_J,Markedness,G_Mean,FM_Index,NPV,DOR
COx_SingleHemisphere_Endothelial,5,12,8,32,0.1351,0.6,0.3846,0.1351,0.2,0.2982,0.3676,-0.3013,-0.1384,-0.2649,-0.3427,0.2847,0.228,0.2727,0.2344
VasomotionStrength_SE,13,8,12,24,0.3514,0.4,0.52,0.3514,0.4194,0.3684,0.3757,-0.2391,-0.1198,-0.2486,-0.23,0.3749,0.4274,0.25,0.3611
rSO2_Power_Endothelial,31,8,12,6,0.8378,0.4,0.7209,0.8378,0.775,0.6842,0.6189,0.2637,0.2395,0.2378,0.2924,0.5789,0.7772,0.5714,3.4444
PowerRatio_Endothelial,18,5,15,19,0.4865,0.25,0.5455,0.4865,0.5143,0.4035,0.3682,-0.2547,-0.1229,-0.2635,-0.2462,0.3487,0.5151,0.2083,0.3158
Lx_Endothelial,14,18,2,23,0.3784,0.9,0.875,0.3784,0.5283,0.5614,0.6392,0.2957,0.19,0.2784,0.314,0.5836,0.5754,0.439,5.4783
TransferGainVariability_LF,34,0,20,3,0.9189,0.0,0.6296,0.9189,0.7473,0.5965,0.4595,-0.1733,0.0354,-0.0811,-0.3704,0.0,0.7606,0.0,0.0
TransferPhaseVariability_Myogenic,21,13,7,16,0.5676,0.65,0.75,0.5676,0.6462,0.5965,0.6088,0.2077,0.1825,0.2176,0.1983,0.6074,0.6524,0.4483,2.4375
AutonomicModulation_Neurogenic,11,9,11,26,0.2973,0.45,0.5,0.2973,0.3729,0.3509,0.3736,-0.2477,-0.1247,-0.2527,-0.2429,0.3658,0.3855,0.2571,0.3462
PowerRatio_Neurogenic,10,10,10,27,0.2703,0.5,0.5,0.2703,0.3509,0.3509,0.3851,-0.2297,-0.1121,-0.2297,-0.2297,0.3676,0.3676,0.2703,0.3704
Lx_Neurogenic,14,18,2,23,0.3784,0.9,0.875,0.3784,0.5283,0.5614,0.6392,0.2957,0.19,0.2784,0.314,0.5836,0.5754,0.439,5.4783
AmplitudeCorr_Neurogenic,14,7,13,23,0.3784,0.35,0.5185,0.3784,0.4375,0.3684,0.3642,-0.2596,-0.1329,-0.2716,-0.2481,0.3639,0.4429,0.2333,0.3278
WaveletCoherence_Neurogenic,9,11,9,28,0.2432,0.55,0.5,0.2432,0.3273,0.3509,0.3966,-0.2123,-0.0998,-0.2068,-0.2179,0.3658,0.3487,0.2821,0.3929
rSO2_to_SE_Causality_Respiratory,34,5,15,3,0.9189,0.25,0.6939,0.9189,0.7907,0.6842,0.5845,0.2321,0.2089,0.1689,0.3189,0.4793,0.7985,0.625,3.7778
Bidirectional_Causality_Respiratory,32,4,16,5,0.8649,0.2,0.6667,0.8649,0.7529,0.6316,0.5324,0.0849,0.13,0.0649,0.1111,0.4159,0.7593,0.4444,1.6
AutoregulationTimeConstant_VLF,23,7,10,6,0.7931,0.4118,0.697,0.7931,0.7419,0.6522,0.6024,0.2196,0.1323,0.2049,0.2354,0.5715,0.7435,0.5385,2.6833
COx_SingleHemisphere_VLF,5,11,9,32,0.1351,0.55,0.3571,0.1351,0.1961,0.2807,0.3426,-0.3491,-0.1675,-0.3149,-0.387,0.2726,0.2197,0.2558,0.191
PowerRatio_VLF,6,13,7,31,0.1622,0.65,0.4615,0.1622,0.24,0.3333,0.4061,-0.2136,-0.0929,-0.1878,-0.243,0.3247,0.2736,0.2955,0.3594
TransferPhaseVariability_VLF,21,12,8,16,0.5676,0.6,0.7241,0.5676,0.6364,0.5789,0.5838,0.16,0.1528,0.1676,0.1527,0.5836,0.6411,0.4286,1.9688
